Index,Value
1,180.0
2,165.6
3,144.0
4,118.8
5,126.0
6,115.2
7,108.0
8,126.0
9,144.0
10,144.0
11,183.6
12,190.8
13,212.4
14,255.6
15,298.8
16,327.6
17,367.2
18,363.6
19,363.6
20,396.0
21,403.2
22,360.0
23,345.6
24,381.6
25,356.4
26,334.8
27,327.6
28,313.2
29,291.6
30,277.2
31,266.4
32,280.8
33,266.4
34,273.6
35,277.2
36,291.6
37,298.8
38,309.6
39,302.4
40,313.2
41,313.2
42,327.6
43,298.8
44,306.0
45,309.6
46,259.2
47,241.2
48,212.4
49,198.0
50,162.0
51,151.2
52,122.4
53,118.8
54,115.2
55,122.4
56,122.4
57,126.0
58,158.4
59,180.0
60,216.0
61,219.6
62,284.4
63,284.4
64,313.2
65,342.0
66,370.8
67,356.4
68,356.4
69,403.2
70,367.2
71,363.6
72,356.4
73,331.2
74,320.4
75,316.8
76,288.0
77,291.6
78,302.4
79,277.2
80,270.0
81,248.4
82,288.0
83,291.6
84,291.6
85,320.4
86,349.2
87,334.8
88,320.4
89,342.0
90,345.6
91,334.8
92,309.6
93,288.0
94,266.4
95,226.8
96,205.2
97,162.0
98,158.4
99,140.4
100,129.6
101,126.0
102,115.2
103,111.6
104,126.0
105,133.2
106,169.2
107,187.2
108,230.4
109,273.6
110,270.0
111,280.8
112,352.8
113,302.4
114,342.0
115,356.4
116,399.6
117,381.6
118,388.8
119,356.4
120,378.0
121,381.6
122,334.8
123,298.8
124,342.0
125,295.2
126,309.6
127,288.0
128,277.2
129,288.0
130,270.0
131,277.2
132,309.6
133,298.8
134,331.2
135,334.8
136,324.0
137,316.8
138,291.6
139,291.6
140,284.4
141,266.4
142,255.6
143,244.8
144,205.2
145,183.6
146,158.4
147,147.6
148,122.4
149,115.2
150,111.6
151,111.6
152,122.4
153,144.0
154,158.4
155,183.6
156,216.0
157,255.6
158,277.2
159,306.0
160,334.8
161,334.8
162,345.6
163,352.8
164,410.4
165,352.8
166,392.4
167,352.8
168,363.6
169,324.0
170,327.6
171,338.4
172,291.6
173,291.6
174,306.0
175,259.2
176,266.4
177,316.8
178,280.8
179,273.6
180,284.4
181,291.6
182,334.8
183,338.4
184,320.4
185,284.4
186,316.8
187,320.4
188,306.0
189,273.6
190,266.4
191,234.0
192,205.2
193,198.0
194,176.4
195,147.6
196,129.6
197,126.0
198,108.0
199,115.2
200,140.4
201,144.0
202,169.2
203,223.2
204,230.4
205,259.2
206,295.2
207,316.8
208,385.2
209,424.8
210,399.6
211,432.0
212,464.4
213,406.8
214,399.6
215,399.6
216,374.4
217,367.2
218,349.2
219,352.8
220,324.0
221,309.6
222,288.0
223,320.4
224,309.6
225,313.2
226,313.2
227,302.4
228,309.6
229,309.6
230,284.4
231,345.6
232,306.0
233,288.0
234,342.0
235,309.6
236,313.2
237,295.2
238,259.2
239,241.2
240,216.0
241,201.6
242,169.2
243,165.6
244,158.4
245,136.8
246,133.2
247,136.8
248,126.0
249,118.8
250,136.8
251,165.6
252,194.4
253,208.8
254,230.4
255,255.6
256,273.6
257,302.4
258,306.0
259,345.6
260,363.6
261,324.0
262,345.6
263,338.4
264,313.2
265,316.8
266,338.4
267,313.2
268,313.2
269,342.0
270,302.4
271,295.2
272,324.0
273,302.4
274,277.2
275,288.0
276,302.4
277,345.6
278,302.4
279,291.6
280,302.4
281,273.6
282,273.6
283,273.6
284,244.8
285,230.4
286,226.8
287,212.4
288,194.4
289,172.8
290,183.6
291,165.6
292,144.0
293,144.0
294,133.2
295,126.0
296,133.2
297,136.8
298,136.8
299,136.8
300,165.6
301,169.2
302,176.4
303,194.4
304,230.4
305,255.6
306,248.4
307,291.6
308,313.2
309,309.6
310,288.0
311,334.8
312,309.6
313,295.2
314,320.4
315,334.8
316,309.6
317,302.4
318,255.6
319,259.2
320,262.8
321,259.2
322,248.4
323,295.2
324,277.2
325,298.8
326,284.4
327,327.6
328,273.6
329,280.8
330,306.0
331,295.2
332,252.0
333,309.6
334,226.8
335,248.4
336,190.8
337,176.4
338,162.0
339,158.4
340,129.6
341,126.0
342,111.6
343,111.6
344,129.6
345,129.6
346,158.4
347,169.2
348,223.2
349,216.0
350,273.6
351,316.8
352,327.6
353,385.2
354,370.8
355,356.4
356,410.4
357,388.8
358,410.4
359,345.6
360,356.4
361,363.6
362,349.2
363,309.6
364,327.6
365,277.2
366,266.4
367,255.6
368,255.6
369,252.0
370,262.8
371,291.6
372,266.4
373,280.8
374,309.6
375,298.8
376,338.4
377,313.2
378,316.8
379,338.4
380,288.0
381,291.6
382,234.0
383,259.2
384,219.6
385,201.6
386,176.4
387,147.6
388,126.0
389,118.8
390,122.4
391,115.2
392,133.2
393,133.2
394,151.2
395,176.4
396,208.8
397,223.2
398,255.6
399,266.4
400,309.6
401,313.2
402,381.6
403,356.4
404,388.8
405,342.0
406,349.2
407,378.0
408,342.0
409,338.4
410,320.4
411,316.8
412,302.4
413,288.0
414,273.6
415,273.6
416,295.2
417,252.0
418,280.8
419,291.6
420,306.0
421,306.0
422,302.4
423,331.2
424,334.8
425,342.0
426,345.6
427,324.0
428,295.2
429,298.8
430,280.8
431,241.2
432,230.4
433,180.0
434,162.0
435,140.4
436,122.4
437,108.0
438,111.6
439,115.2
440,129.6
441,133.2
442,176.4
443,194.4
444,201.6
445,248.4
446,277.2
447,295.2
448,302.4
449,352.8
450,363.6
451,374.4
452,374.4
453,324.0
454,370.8
455,399.6
456,352.8
457,338.4
458,374.4
459,295.2
460,327.6
461,302.4
462,302.4
463,316.8
464,302.4
465,277.2
466,288.0
467,288.0
468,295.2
469,288.0
470,295.2
471,320.4
472,320.4
473,334.8
474,356.4
475,324.0
476,280.8
477,284.4
478,284.4
479,241.2
480,219.6
481,201.6
482,165.6
483,158.4
484,129.6
485,122.4
486,115.2
487,129.6
488,122.4
489,140.4
490,158.4
491,169.2
492,226.8
493,234.0
494,273.6
495,295.2
496,313.2
497,345.6
498,363.6
499,363.6
500,360.0
501,367.2
502,363.6
503,360.0
504,331.2
505,356.4
506,313.2
507,277.2
508,291.6
509,309.6
510,288.0
511,277.2
512,277.2
513,284.4
514,262.8
515,291.6
516,295.2
517,316.8
518,345.6
519,324.0
520,324.0
521,349.2
522,345.6
523,324.0
524,324.0
525,316.8
526,255.6
527,266.4
528,241.2
529,205.2
530,169.2
531,172.8
532,133.2
533,136.8
534,115.2
535,129.6
536,144.0
537,154.8
538,169.2
539,212.4
540,255.6
541,266.4
542,320.4
543,342.0
544,374.4
545,417.6
546,381.6
547,428.4
548,432.0
549,435.6
550,381.6
551,439.2
552,370.8
553,367.2
554,331.2
555,327.6
556,302.4
557,302.4
558,270.0
559,302.4
560,288.0
561,306.0
562,291.6
563,320.4
564,331.2
565,306.0
566,316.8
567,324.0
568,327.6
569,352.8
570,309.6
571,316.8
572,288.0
573,280.8
574,259.2
575,259.2
576,223.2
577,223.2
578,172.8
579,183.6
580,147.6
581,144.0
582,151.2
583,129.6
584,129.6
585,129.6
586,147.6
587,162.0
588,172.8
589,212.4
590,230.4
591,255.6
592,277.2
593,291.6
594,309.6
595,306.0
596,370.8
597,360.0
598,352.8
599,349.2
600,338.4
601,349.2
602,360.0
603,313.2
604,320.4
605,324.0
606,320.4
607,320.4
608,327.6
609,309.6
610,302.4
611,313.2
612,345.6
613,298.8
614,298.8
615,313.2
616,338.4
617,309.6
618,302.4
619,288.0
620,284.4
621,230.4
622,223.2
623,212.4
624,194.4
625,194.4
626,169.2
627,162.0
628,169.2
629,136.8
630,133.2
631,133.2
632,129.6
633,126.0
634,133.2
635,151.2
636,162.0
637,165.6
638,180.0
639,205.2
640,223.2
641,273.6
642,255.6
643,277.2
644,270.0
645,345.6
646,298.8
647,334.8
648,327.6
649,331.2
650,306.0
651,342.0
652,298.8
653,309.6
654,309.6
655,270.0
656,273.6
657,259.2
658,280.8
659,288.0
660,291.6
661,284.4
662,298.8
663,295.2
664,302.4
665,324.0
666,320.4
667,288.0
668,280.8
669,280.8
670,266.4
671,230.4
672,201.6
673,198.0
674,154.8
675,151.2
676,129.6
677,118.8
678,126.0
679,122.4
680,118.8
681,133.2
682,158.4
683,187.2
684,198.0
685,230.4
686,266.4
687,320.4
688,338.4
689,349.2
690,360.0
691,396.0
692,417.6
693,396.0
694,399.6
695,392.4
696,374.4
697,360.0
698,345.6
699,352.8
700,327.6
701,291.6
702,273.6
703,298.8
704,252.0
705,255.6
706,270.0
707,280.8
708,280.8
709,320.4
710,324.0
711,331.2
712,338.4
713,363.6
714,338.4
715,334.8
716,316.8
717,306.0
718,252.0
719,241.2
720,226.8
721,180.0
722,158.4
723,144.0
724,147.6
725,126.0
726,111.6
727,126.0
728,126.0
729,136.8
730,169.2
731,183.6
732,201.6
733,226.8
734,262.8
735,288.0
736,316.8
737,324.0
738,349.2
739,360.0
740,374.4
741,360.0
742,432.0
743,392.4
744,342.0
745,374.4
746,327.6
747,345.6
748,306.0
749,309.6
750,266.4
751,284.4
752,273.6
753,284.4
754,262.8
755,313.2
756,306.0
757,309.6
758,316.8
759,342.0
760,320.4
761,367.2
762,345.6
763,309.6
764,306.0
765,284.4
766,280.8
767,259.2
768,201.6
769,180.0
770,165.6
771,165.6
772,126.0
773,122.4
774,118.8
775,122.4
776,122.4
777,133.2
778,158.4
779,187.2
780,234.0
781,259.2
782,270.0
783,284.4
784,327.6
785,338.4
786,370.8
787,381.6
788,370.8
789,388.8
790,428.4
791,374.4
792,388.8
793,345.6
794,309.6
795,360.0
796,327.6
797,280.8
798,309.6
799,277.2
800,291.6
801,277.2
802,277.2
803,280.8
804,284.4
805,316.8
806,316.8
807,298.8
808,334.8
809,334.8
810,334.8
811,316.8
812,313.2
813,295.2
814,259.2
815,252.0
816,223.2
817,198.0
818,162.0
819,162.0
820,140.4
821,118.8
822,104.4
823,129.6
824,118.8
825,129.6
826,165.6
827,201.6
828,205.2
829,237.6
830,262.8
831,309.6
832,324.0
833,349.2
834,331.2
835,396.0
836,378.0
837,421.2
838,345.6
839,320.4
840,349.2
841,342.0
842,309.6
843,324.0
844,295.2
845,298.8
846,284.4
847,280.8
848,277.2
849,280.8
850,291.6
851,306.0
852,313.2
853,327.6
854,320.4
855,320.4
856,295.2
857,331.2
858,327.6
859,331.2
860,324.0
861,316.8
862,262.8
863,244.8
864,252.0
865,205.2
866,162.0
867,151.2
868,147.6
869,126.0
870,129.6
871,122.4
872,140.4
