Index,Value
1,324.0
2,288.0
3,259.2
4,244.8
5,216.0
6,187.2
7,201.6
8,198.0
9,237.6
10,284.4
11,306.0
12,352.8
13,414.0
14,475.2
15,522.0
16,572.4
17,626.4
18,684.0
19,666.0
20,712.8
21,676.8
22,738.0
23,752.4
24,651.6
25,669.6
26,658.8
27,594.0
28,565.2
29,540.0
30,536.4
31,504.0
32,471.6
33,482.4
34,460.8
35,493.2
36,550.8
37,536.4
38,554.4
39,565.2
40,590.4
41,583.2
42,612.0
43,554.4
44,554.4
45,518.4
46,496.8
47,450.0
48,399.6
49,342.0
50,298.8
51,277.2
52,241.2
53,223.2
54,201.6
55,201.6
56,219.6
57,248.4
58,252.0
59,316.8
60,374.4
61,414.0
62,496.8
63,486.0
64,579.6
65,604.8
66,630.0
67,644.4
68,648.0
69,694.8
70,705.6
71,687.6
72,658.8
73,633.6
74,612.0
75,568.8
76,543.6
77,525.6
78,529.2
79,511.2
80,500.4
81,532.8
82,536.4
83,514.8
84,522.0
85,586.8
86,583.2
87,619.2
88,604.8
89,615.6
90,622.8
91,594.0
92,565.2
93,558.0
94,525.6
95,450.0
96,399.6
97,345.6
98,295.2
99,262.8
100,248.4
101,230.4
102,208.8
103,223.2
104,219.6
105,255.6
106,298.8
107,331.2
108,388.8
109,424.8
110,478.8
111,536.4
112,568.8
113,615.6
114,648.0
115,655.2
116,691.2
117,723.6
118,666.0
119,658.8
120,640.8
121,640.8
122,633.6
123,579.6
124,619.2
125,572.4
126,522.0
127,558.0
128,554.4
129,540.0
130,518.4
131,558.0
132,547.2
133,565.2
134,601.2
135,590.4
136,615.6
137,586.8
138,576.0
139,554.4
140,540.0
141,522.0
142,493.2
143,428.4
144,406.8
145,352.8
146,309.6
147,259.2
148,241.2
149,212.4
150,205.2
151,201.6
152,230.4
153,262.8
154,302.4
155,334.8
156,378.0
157,442.8
158,493.2
159,532.8
160,597.6
161,619.2
162,662.4
163,669.6
164,658.8
165,694.8
166,666.0
167,680.4
168,651.6
169,597.6
170,572.4
171,586.8
172,583.2
173,554.4
174,543.6
175,532.8
176,522.0
177,507.6
178,532.8
179,540.0
180,550.8
181,554.4
182,572.4
183,604.8
184,622.8
185,601.2
186,583.2
187,561.6
188,536.4
189,536.4
190,507.6
191,442.8
192,432.0
193,352.8
194,324.0
195,284.4
196,252.0
197,230.4
198,223.2
199,219.6
200,252.0
201,280.8
202,320.4
203,385.2
204,417.6
205,471.6
206,568.8
207,576.0
208,705.6
209,745.2
210,738.0
211,788.4
212,734.4
213,770.4
214,810.0
215,756.0
216,694.8
217,709.2
218,644.4
219,644.4
220,604.8
221,558.0
222,568.8
223,565.2
224,540.0
225,568.8
226,579.6
227,586.8
228,576.0
229,561.6
230,583.2
231,608.4
232,558.0
233,554.4
234,558.0
235,522.0
236,529.2
237,504.0
238,504.0
239,439.2
240,424.8
241,392.4
242,352.8
243,320.4
244,284.4
245,252.0
246,248.4
247,234.0
248,237.6
249,230.4
250,248.4
251,284.4
252,316.8
253,363.6
254,403.2
255,435.6
256,489.6
257,522.0
258,550.8
259,583.2
260,601.2
261,608.4
262,637.2
263,666.0
264,680.4
265,644.4
266,644.4
267,612.0
268,597.6
269,590.4
