Index,Value
1,69.902
2,69.919
3,69.935
4,69.943
5,69.952
6,69.956
7,69.954
8,69.95
9,69.941
10,69.927
11,69.907
12,69.881
13,69.851
14,69.815
15,69.775
16,69.728
17,69.695
18,69.637
19,69.617
20,69.612
21,69.595
22,69.591
23,69.587
24,69.631
25,69.641
26,69.669
27,69.71
28,69.733
29,69.749
30,69.773
31,69.783
32,69.794
33,69.795
34,69.797
35,69.786
36,69.766
37,69.76
38,69.744
39,69.726
40,69.716
41,69.712
42,69.715
43,69.733
44,69.739
45,69.769
46,69.794
47,69.835
48,69.859
49,69.886
50,69.909
51,69.926
52,69.94
53,69.947
54,69.953
55,69.95
56,69.948
57,69.936
58,69.926
59,69.902
60,69.876
61,69.847
62,69.81
63,69.78
64,69.735
65,69.713
66,69.689
67,69.661
68,69.645
69,69.622
70,69.62
71,69.628
72,69.669
73,69.671
74,69.703
75,69.724
76,69.742
77,69.748
78,69.767
79,69.775
80,69.773
81,69.778
82,69.764
83,69.764
84,69.749
85,69.731
86,69.716
87,69.706
88,69.705
89,69.701
90,69.704
91,69.72
92,69.742
93,69.776
94,69.802
95,69.828
96,69.861
97,69.887
98,69.911
99,69.932
100,69.94
101,69.947
102,69.952
103,69.951
104,69.943
105,69.931
106,69.914
107,69.893
108,69.867
109,69.84
110,69.802
111,69.766
112,69.734
113,69.698
114,69.675
115,69.654
116,69.638
117,69.636
118,69.637
119,69.642
120,69.654
121,69.66
122,69.681
123,69.702
124,69.723
125,69.729
126,69.735
127,69.751
128,69.752
129,69.757
130,69.755
131,69.751
132,69.741
133,69.734
134,69.721
135,69.72
136,69.705
137,69.709
138,69.719
139,69.727
140,69.751
141,69.779
142,69.798
143,69.826
144,69.856
145,69.885
146,69.906
147,69.926
148,69.942
149,69.948
150,69.953
151,69.953
152,69.946
153,69.933
154,69.917
155,69.89
156,69.864
157,69.835
158,69.79
159,69.763
160,69.721
161,69.691
162,69.656
163,69.636
164,69.632
165,69.631
166,69.635
167,69.658
168,69.675
169,69.695
170,69.709
171,69.726
172,69.735
173,69.751
174,69.76
175,69.762
176,69.767
177,69.763
178,69.758
179,69.742
180,69.736
181,69.734
182,69.71
183,69.706
184,69.703
185,69.709
186,69.717
187,69.735
188,69.761
189,69.767
190,69.797
191,69.825
192,69.85
193,69.883
194,69.902
195,69.925
196,69.935
197,69.944
198,69.948
199,69.946
200,69.938
201,69.925
202,69.905
203,69.877
204,69.837
205,69.798
206,69.745
207,69.705
208,69.644
209,69.596
210,69.572
211,69.545
212,69.539
213,69.547
214,69.546
215,69.576
216,69.59
217,69.609
218,69.653
219,69.677
220,69.705
221,69.721
222,69.735
223,69.731
224,69.735
225,69.734
226,69.726
227,69.725
228,69.726
229,69.728
230,69.72
231,69.723
232,69.723
233,69.723
234,69.736
235,69.749
236,69.769
237,69.784
238,69.802
239,69.827
240,69.845
241,69.867
242,69.889
243,69.904
244,69.919
245,69.931
246,69.939
247,69.94
248,69.942
249,69.938
250,69.932
251,69.92
252,69.905
253,69.884
254,69.855
255,69.833
256,69.799
257,69.767
258,69.726
259,69.705
260,69.69
261,69.678
262,69.666
263,69.658
264,69.66
265,69.668
266,69.681
267,69.682
268,69.715
269,69.717
270,69.709
271,69.724
272,69.734
273,69.72
274,69.725
275,69.721
276,69.718
277,69.729
